,MAG_CURR(A),timestamp
0,0.0,1559713614.757
1,0.0,1559713614.865
2,0.002,1559713614.983
3,0.004,1559713615.104
4,0.01,1559713615.211
5,0.018,1559713615.33
6,0.027,1559713615.451
7,0.041,1559713615.572
8,0.056,1559713615.68
9,0.071,1559713615.8
10,0.082,1559713615.921
11,0.095,1559713616.028
12,0.11,1559713616.147
13,0.119,1559713616.268
14,0.138,1559713616.418
15,0.148,1559713616.539
16,0.159,1559713616.645
17,0.172,1559713616.765
18,0.182,1559713616.886
19,0.194,1559713616.993
20,0.207,1559713617.112
21,0.216,1559713617.233
22,0.228,1559713617.354
23,0.24,1559713617.461
24,0.253,1559713617.582
25,0.264,1559713617.703
26,0.275,1559713617.81
27,0.288,1559713617.929
28,0.298,1559713618.05
29,0.31,1559713618.171
30,0.323,1559713618.278
31,0.334,1559713618.399
32,0.344,1559713618.519
33,0.36,1559713618.649
34,0.372,1559713618.77
35,0.382,1559713618.891
36,0.395,1559713619.012
37,0.406,1559713619.119
38,0.418,1559713619.24
39,0.428,1559713619.361
40,0.441,1559713619.468
41,0.452,1559713619.587
42,0.463,1559713619.708
43,0.477,1559713619.827
44,0.489,1559713619.955
45,0.499,1559713620.062
46,0.5,1559713623.227
47,0.499,1559713623.348
48,0.499,1559713623.449
49,0.498,1559713623.548
50,0.495,1559713623.647
51,0.488,1559713623.746
52,0.479,1559713623.844
53,0.469,1559713623.944
54,0.459,1559713624.043
55,0.447,1559713624.165
56,0.435,1559713624.241
57,0.423,1559713624.34
58,0.411,1559713624.441
59,0.395,1559713624.592
60,0.39,1559713624.656
61,0.38,1559713624.756
62,0.37,1559713624.857
63,0.358,1559713624.957
64,0.349,1559713625.058
65,0.339,1559713625.157
66,0.328,1559713625.255
67,0.317,1559713625.354
68,0.308,1559713625.453
69,0.298,1559713625.552
70,0.288,1559713625.652
71,0.279,1559713625.75
72,0.269,1559713625.85
73,0.258,1559713625.95
74,0.249,1559713626.05
75,0.24,1559713626.15
76,0.229,1559713626.265
77,0.219,1559713626.365
78,0.209,1559713626.466
79,0.196,1559713626.567
80,0.187,1559713626.666
81,0.178,1559713626.765
82,0.167,1559713626.89
83,0.158,1559713626.963
84,0.148,1559713627.062
85,0.138,1559713627.161
86,0.128,1559713627.26
87,0.118,1559713627.36
88,0.109,1559713627.458
89,0.098,1559713627.558
90,0.088,1559713627.659
91,0.079,1559713627.76
92,0.068,1559713627.874
93,0.058,1559713627.975
94,0.048,1559713628.075
95,0.036,1559713628.176
96,0.023,1559713628.32
97,0.018,1559713628.372
98,0.008,1559713628.471
99,-0.001,1559713628.57
